Year,Main_Genre,Total_Gross
2022,Horror,$0.0M
2022,Drama,$0.0M
2022,Crime,$0.0M
2022,Comedy,$0.0M
2022,Biography,$0.0M
2022,Animation,$0.0M
2022,Adventure,$0.0M
2022,Action,$0.0M
2021,Mystery,$0.0M
2021,Horror,$65.63M
2021,Drama,$0.0M
2021,Crime,$0.0M
2021,Comedy,$0.0M
2021,Biography,$0.0M
2021,Animation,$258.88M
2021,Adventure,$215.46M
2021,Action,$2615.25M
2020,Mystery,$0.0M
2020,Horror,$0.0M
2020,Fantasy,$27.31M
2020,Drama,$232.92M
2020,Crime,$0.0M
2020,Comedy,$0.0M
2020,Biography,$0.0M
2020,Animation,$170.02M
2020,Adventure,$139.39M
2020,Action,$592.08M
2019,Horror,$404.05M
2019,Fantasy,$14.86M
2019,Drama,$732.98M
2019,Crime,$337.31M
2019,Comedy,$818.72M
2019,Biography,$195.24M
2019,Animation,$2174.16M
2019,Adventure,$571.78M
2019,Action,$4437.36M
2018,Mystery,$0.0M
2018,Horror,$224.55M
2018,Drama,$787.73M
2018,Crime,$384.36M
2018,Comedy,$1037.44M
2018,Biography,$629.04M
2018,Animation,$1755.97M
2018,Adventure,$257.28M
2018,Action,$5165.17M
2017,Mystery,$0.0M
2017,Horror,$278.13M
2017,Drama,$711.89M
2017,Crime,$219.19M
2017,Comedy,$770.46M
2017,Biography,$508.99M
2017,Animation,$1288.75M
2017,Adventure,$266.77M
2017,Action,$5226.76M
2016,Mystery,$1.31M
2016,Horror,$256.84M
2016,Drama,$600.66M
2016,Crime,$242.04M
2016,Comedy,$885.86M
2016,Biography,$683.39M
2016,Animation,$2412.32M
2016,Adventure,$546.46M
2016,Action,$4869.61M
2015,Horror,$189.27M
2015,Drama,$534.47M
2015,Crime,$79.94M
2015,Comedy,$1271.91M
2015,Biography,$586.26M
2015,Animation,$1480.35M
2015,Adventure,$716.11M
2015,Action,$5139.69M
2014,Mystery,$5.98M
2014,Horror,$238.03M
2014,Drama,$671.78M
2014,Crime,$151.49M
2014,Comedy,$1112.14M
2014,Biography,$406.54M
2014,Animation,$1150.56M
2014,Adventure,$687.13M
2014,Action,$5071.13M
2013,Horror,$248.69M
2013,Drama,$675.16M
2013,Crime,$403.72M
2013,Comedy,$1534.42M
2013,Biography,$601.34M
2013,Animation,$1705.38M
2013,Adventure,$80.33M
2013,Action,$4465.94M
2012,Mystery,$1.04M
2012,Horror,$186.79M
2012,Drama,$995.87M
2012,Crime,$71.07M
2012,Comedy,$1693.76M
2012,Biography,$377.14M
2012,Animation,$1449.51M
2012,Adventure,$651.92M
2012,Action,$4344.67M
2011,Horror,$180.7M
2011,Fantasy,$37.66M
2011,Drama,$536.7M
2011,Crime,$160.69M
2011,Comedy,$2141.79M
2011,Biography,$233.82M
2011,Animation,$1472.59M
2011,Adventure,$974.19M
2011,Action,$3533.2M
2010,Mystery,$128.01M
2010,Horror,$213.39M
2010,Drama,$788.43M
2010,Crime,$230.02M
2010,Comedy,$1630.53M
2010,Biography,$415.38M
2010,Animation,$1548.81M
2010,Adventure,$733.18M
2010,Action,$3313.34M
2009,Horror,$279.28M
2009,Fantasy,$0.0M
2009,Drama,$502.53M
2009,Crime,$86.11M
2009,Comedy,$1908.07M
2009,Biography,$484.84M
2009,Animation,$1584.54M
2009,Adventure,$701.47M
2009,Action,$4056.36M
2008,Mystery,$0.27M
2008,Horror,$167.6M
2008,Drama,$930.05M
2008,Crime,$408.27M
2008,Comedy,$1768.69M
2008,Biography,$156.99M
2008,Animation,$988.96M
2008,Adventure,$402.43M
2008,Action,$3919.08M
2007,Horror,$132.27M
2007,Fantasy,$71.99M
2007,Drama,$511.31M
2007,Crime,$695.53M
2007,Comedy,$1787.61M
2007,Biography,$366.11M
2007,Animation,$1262.19M
2007,Adventure,$409.43M
2007,Action,$3047.03M
2006,Mystery,$217.54M
2006,Horror,$77.65M
2006,Fantasy,$23.09M
2006,Drama,$700.93M
2006,Crime,$438.37M
2006,Comedy,$1877.04M
2006,Biography,$438.48M
2006,Animation,$1204.16M
2006,Adventure,$727.82M
2006,Action,$2307.8M
2005,Horror,$243.88M
2005,Drama,$738.19M
2005,Crime,$278.49M
2005,Comedy,$1968.68M
2005,Biography,$447.18M
2005,Animation,$618.05M
2005,Adventure,$804.15M
2005,Action,$2487.85M
2004,Horror,$208.18M
2004,Drama,$1255.29M
2004,Crime,$233.61M
2004,Comedy,$2071.12M
2004,Biography,$340.88M
2004,Animation,$1208.68M
2004,Adventure,$545.37M
2004,Action,$2501.56M
2003,Mystery,$52.16M
2003,Horror,$59.69M
2003,Fantasy,$32.55M
2003,Drama,$275.0M
2003,Crime,$335.04M
2003,Comedy,$2284.75M
2003,Biography,$104.38M
2003,Animation,$520.78M
2003,Adventure,$608.53M
